Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2022-07-08 00:00,2.011,0.118,1,0,0,0,p
2022-07-08 00:06,1.946,0.095,1,0,0,0,p
2022-07-08 00:12,1.900,0.089,1,0,0,0,p
2022-07-08 00:18,1.867,0.108,1,0,0,0,p
2022-07-08 00:24,1.821,0.200,0,0,0,0,p
2022-07-08 00:30,1.775,0.121,1,0,0,0,p
2022-07-08 00:36,1.729,0.121,1,0,0,0,p
2022-07-08 00:42,1.677,0.108,1,0,0,0,p
2022-07-08 00:48,1.640,0.102,1,0,0,0,p
2022-07-08 00:54,1.594,0.177,1,0,0,0,p
2022-07-08 01:00,1.558,0.197,0,0,0,0,p
2022-07-08 01:06,1.519,0.184,0,0,0,0,p
2022-07-08 01:12,1.493,0.115,0,0,0,0,p
2022-07-08 01:18,1.470,0.105,1,0,0,0,p
2022-07-08 01:24,1.467,0.259,1,0,0,0,p
2022-07-08 01:30,1.437,0.118,0,0,0,0,p
2022-07-08 01:36,1.424,0.118,0,0,0,0,p
2022-07-08 01:42,1.417,0.098,0,0,0,0,p
2022-07-08 01:48,1.440,0.052,1,0,0,0,p
2022-07-08 01:54,1.480,0.295,1,0,0,0,p
2022-07-08 02:00,1.470,0.125,1,0,0,0,p
2022-07-08 02:06,1.506,0.105,1,0,0,0,p
2022-07-08 02:12,1.542,0.062,1,0,0,0,p
2022-07-08 02:18,1.578,0.144,1,0,0,0,p
2022-07-08 02:24,1.627,0.187,1,0,0,0,p
2022-07-08 02:30,1.670,0.167,1,0,0,0,p
2022-07-08 02:36,1.703,0.098,0,0,0,0,p
2022-07-08 02:42,1.742,0.066,1,0,0,0,p
2022-07-08 02:48,1.808,0.072,0,0,0,0,p
2022-07-08 02:54,1.860,0.108,1,0,0,0,p
2022-07-08 03:00,1.926,0.062,0,0,0,0,p
2022-07-08 03:06,1.985,0.062,1,0,0,0,p
2022-07-08 03:12,2.057,0.069,1,0,0,0,p
2022-07-08 03:18,2.136,0.043,1,0,0,0,p
2022-07-08 03:24,2.224,0.069,1,0,0,0,p
2022-07-08 03:30,2.313,0.052,1,0,0,0,p
2022-07-08 03:36,2.405,0.049,0,0,0,0,p
2022-07-08 03:42,2.490,0.046,1,0,0,0,p
2022-07-08 03:48,2.569,0.036,1,0,0,0,p
2022-07-08 03:54,2.667,0.049,0,0,0,0,p
2022-07-08 04:00,2.772,0.036,1,0,0,0,p
2022-07-08 04:06,2.877,0.043,1,0,0,0,p
2022-07-08 04:12,2.989,0.036,1,0,0,0,p
2022-07-08 04:18,3.100,0.036,0,0,0,0,p
2022-07-08 04:24,3.215,0.144,0,0,0,0,p
2022-07-08 04:30,3.307,0.056,0,0,0,0,p
2022-07-08 04:36,3.396,0.075,0,0,0,0,p
2022-07-08 04:42,3.491,0.043,1,0,0,0,p
2022-07-08 04:48,3.583,0.069,1,0,0,0,p
2022-07-08 04:54,3.675,0.052,1,0,0,0,p
2022-07-08 05:00,3.763,0.052,1,0,0,0,p
2022-07-08 05:06,3.858,0.056,1,0,0,0,p
2022-07-08 05:12,3.957,0.069,0,0,0,0,p
2022-07-08 05:18,4.042,0.059,0,0,0,0,p
2022-07-08 05:24,4.127,0.200,0,0,0,0,p
2022-07-08 05:30,4.193,0.128,0,0,0,0,p
2022-07-08 05:36,4.272,0.075,0,0,0,0,p
2022-07-08 05:42,4.327,0.059,1,0,0,0,p
2022-07-08 05:48,4.380,0.043,1,0,0,0,p
2022-07-08 05:54,4.426,0.039,1,0,0,0,p
2022-07-08 06:00,4.449,0.043,1,0,0,0,p
2022-07-08 06:06,4.482,0.046,1,0,0,0,p
2022-07-08 06:12,4.514,0.039,0,0,0,0,p
2022-07-08 06:18,4.544,0.033,0,0,0,0,p
2022-07-08 06:24,4.583,0.236,0,0,0,0,p
2022-07-08 06:30,4.596,0.056,1,0,0,0,p
2022-07-08 06:36,4.596,0.056,0,0,0,0,p
2022-07-08 06:42,4.613,0.026,1,0,0,0,p
2022-07-08 06:48,4.600,0.036,1,0,0,0,p
2022-07-08 06:54,4.603,0.046,1,0,0,0,p
2022-07-08 07:00,4.603,0.039,1,0,0,0,p
2022-07-08 07:06,4.613,0.033,1,0,0,0,p
2022-07-08 07:12,4.626,0.043,0,0,0,0,p
2022-07-08 07:18,4.629,0.036,1,0,0,0,p
2022-07-08 07:24,4.619,0.108,0,0,0,0,p
2022-07-08 07:30,4.600,0.066,0,0,0,0,p
2022-07-08 07:36,4.580,0.043,1,0,0,0,p
2022-07-08 07:42,4.570,0.026,1,0,0,0,p
2022-07-08 07:48,4.537,0.033,0,0,0,0,p
2022-07-08 07:54,4.501,0.039,0,0,0,0,p
2022-07-08 08:00,4.446,0.043,1,0,0,0,p
2022-07-08 08:06,4.400,0.036,0,0,0,0,p
2022-07-08 08:12,4.350,0.039,0,0,0,0,p
2022-07-08 08:18,4.304,0.030,1,0,0,0,p
2022-07-08 08:24,4.252,0.131,0,0,0,0,p
2022-07-08 08:30,4.199,0.092,1,0,0,0,p
2022-07-08 08:36,4.147,0.049,1,0,0,0,p
2022-07-08 08:42,4.088,0.046,1,0,0,0,p
2022-07-08 08:48,4.022,0.036,1,0,0,0,p
2022-07-08 08:54,3.947,0.046,1,0,0,0,p
2022-07-08 09:00,3.875,0.049,0,0,0,0,p
2022-07-08 09:06,3.809,0.039,0,0,0,0,p
2022-07-08 09:12,3.743,0.043,0,0,0,0,p
2022-07-08 09:18,3.688,0.026,1,0,0,0,p
2022-07-08 09:24,3.638,0.262,0,0,0,0,p
2022-07-08 09:30,3.550,0.089,0,0,0,0,p
2022-07-08 09:36,3.494,0.059,1,0,0,0,p
2022-07-08 09:42,3.419,0.043,1,0,0,0,p
2022-07-08 09:48,3.340,0.039,1,0,0,0,p
2022-07-08 09:54,3.284,0.246,0,0,0,0,p
2022-07-08 10:00,3.186,0.230,0,0,0,0,p
